frame,pos_x,pos_y,pos_z,roll,pitch,yaw
0,-0.05176229,1.4153242,-0.26002055,161.3945040385334,0.33077936979573297,-1.1025685904440454
1,-0.05176229,1.4153242,-0.26002055,161.3945040385334,0.33077936979573297,-1.1025685904440454
2,-0.05188652,1.4153148,-0.26006946,161.3966021897792,0.3600492007041892,-1.08679804955114
3,-0.052023564,1.4152925,-0.2601087,161.38920741293197,0.3862681865945201,-1.0687440817010252
4,-0.05215169,1.4152652,-0.26013425,161.3771565304782,0.41003785360346745,-1.0435300537171008
5,-0.052268244,1.4152623,-0.2601657,161.3800546145724,0.43815592641921275,-1.0110098788776454
6,-0.05238327,1.4152457,-0.2601846,161.3807248472923,0.4714766338649359,-0.9923916984718464
7,-0.052484706,1.4151889,-0.26017225,161.3689947232281,0.5051593908537205,-0.9817931807530276
8,-0.052538723,1.4151095,-0.26013398,161.34646885268904,0.5307724365492253,-0.9722934180985169
9,-0.052535627,1.4150695,-0.26010394,161.34079896875187,0.5398196040323084,-0.9687837424444874
10,-0.052484084,1.4150679,-0.26008233,161.3507236955024,0.5309257805539683,-0.9698247156224823
11,-0.052402012,1.415054,-0.26005763,161.3508359709362,0.5093899604028947,-0.9714050838899531
12,-0.052310444,1.4150256,-0.2600457,161.34080216675736,0.4816405216518742,-0.9743846802038791
13,-0.05222751,1.4149886,-0.2600676,161.3264390016445,0.4694393065456813,-0.9734688714253061
14,-0.052197903,1.4148736,-0.26009083,161.26961584311198,0.46126536714119637,-1.0175328198166065
15,-0.05212042,1.4146334,-0.26012596,161.16541455394565,0.4361149014114739,-1.0429575286255912
16,-0.051967647,1.4143078,-0.26021045,161.0478624292805,0.3772898996686505,-1.0438552365332847
17,-0.051792882,1.413981,-0.26036367,160.94120210302498,0.30551696666960865,-1.0521684151823778
18,-0.05163908,1.4136702,-0.26055863,160.8412499196867,0.2461241771937156,-1.0630901558832364
19,-0.051521204,1.4134238,-0.2607665,160.76161288895847,0.20004410399471978,-1.0690096124070354
20,-0.051436275,1.4132499,-0.26096147,160.69871768554512,0.16989055998640804,-1.060477890053967
21,-0.051408846,1.4131411,-0.2611305,160.6567478812193,0.1582359719959409,-1.0523135328840334
22,-0.051431805,1.4130847,-0.26126733,160.62673032737507,0.16201779757450568,-1.0525776348912546
23,-0.051460195,1.4130691,-0.26135758,160.61333202079703,0.17587618421313952,-1.0418103165031343
24,-0.05150498,1.4130318,-0.26138172,160.5964324102963,0.1918625490765176,-1.0381246408124432
25,-0.051536046,1.412984,-0.26137215,160.58118108871219,0.19847292966955762,-1.0388649244087387
26,-0.051526643,1.4129508,-0.2613471,160.5718470421022,0.19079367803024663,-1.0377740058409626
27,-0.051487252,1.412925,-0.26131427,160.56144599068872,0.1739624234405972,-1.033023401728362
28,-0.05145564,1.4129167,-0.2613031,160.55869762067368,0.16394773564869683,-1.0315032174987853
29,-0.05146111,1.4129723,-0.26135778,160.57024543057528,0.1748481682573463,-1.0381699937575655
30,-0.05152644,1.4130771,-0.26150522,160.59026173330474,0.22828565255617062,-1.0456988236072788
31,-0.051660918,1.4131546,-0.26173946,160.59764106035777,0.3186777574609323,-1.0714559347541939
32,-0.05178181,1.413157,-0.26202857,160.5744769059275,0.4092208801496882,-1.0971002099211422
33,-0.051791,1.4130126,-0.26228005,160.5115668911205,0.4643010765215946,-1.0935130393066879
34,-0.05168805,1.4127035,-0.26242012,160.40057362182816,0.46557706072817595,-1.1008017572571518
35,-0.051511437,1.4123966,-0.26251516,160.30500895826225,0.4263699454907596,-1.129634959304218
36,-0.051330935,1.4121567,-0.2625446,160.23502804101435,0.3841187791021355,-1.1579363484052094
37,-0.051228303,1.412035,-0.26250848,160.1949582233313,0.3782863634409331,-1.1911898696121817
38,-0.051215738,1.4120712,-0.26247153,160.18831325502123,0.39560924257690244,-1.254198553719591
39,-0.051141165,1.4121171,-0.26242062,160.18466045797996,0.40440939358877354,-1.2688356010813722
40,-0.050951023,1.4120044,-0.26229426,160.1452769153392,0.370532044485789,-1.2517934365020107
41,-0.05070596,1.4118838,-0.26217592,160.1180815738061,0.3027785204874422,-1.2678040937472728
42,-0.050467927,1.4118158,-0.26209632,160.11064252454284,0.24175761328147322,-1.2967991876802545
43,-0.050259963,1.4117353,-0.2620127,160.0881216573382,0.19991729053845692,-1.314991790618514
44,-0.05007173,1.4117111,-0.2619654,160.07677380306686,0.16779497478065505,-1.3227666636151545
45,-0.049900975,1.4117194,-0.26195508,160.07076475200975,0.14167105291392967,-1.3296374481223776
46,-0.049748406,1.4117135,-0.26195267,160.05780685564946,0.11623625706874663,-1.3399720720397383
